,id,lat,lon,Name
349,54243,42.78,124.12,昌图县
350,54254,42.53,124.05,开原市
351,54326,41.38,119.7,建平县
352,54323,41.82,120.75,北票市
353,54327,41.23,119.35,凌源市
354,54453,40.78,120.88,连山区
355,54454,40.35,120.35,绥中县
356,54452,40.8,119.82,建昌县
357,54455,40.58,120.7,兴城市
358,54285,42.42,128.12,二道区
359,54165,43.55,125.63,双阳区
360,54064,44.38,125.15,农安县
361,54069,44.17,125.8,九台市
362,54072,44.85,126.52,榆树市
363,54065,44.53,125.65,德惠市
364,54171,43.7,126.52,永吉县
365,54181,43.7,127.33,蛟河市
366,54273,42.98,126.75,桦甸市
367,54076,44.42,126.93,舒兰市
368,54263,42.97,126.05,磐石市
369,54154,43.35,124.3,梨树县
370,54164,43.35,125.28,伊通满族自治县
371,54156,43.52,124.8,公主岭市
372,54142,43.5,123.53,双辽市
373,54261,42.68,125.45,东丰县
374,54274,42.68,126.07,辉南县
375,54267,42.25,125.73,柳河县
376,54266,42.53,125.63,梅河口市
377,54377,41.1,126.15,集安市
378,54276,42.35,126.82,靖宇县
379,54386,41.42,128.18,长白朝鲜族自治县
380,54279,42.03,126.35,江源县
381,54374,41.8,126.92,临江市
382,50949,45.08,124.87,前郭尔罗斯蒙古族自治
383,54049,44.25,123.97,长岭县
384,50948,45.0,124.02,乾安县
385,54063,44.97,126.0,扶余县
386,50940,45.85,123.17,镇赉县
387,54041,44.8,123.07,通榆县
388,50939,45.33,122.82,洮南市
389,50945,45.5,124.27,大安市
390,54292,42.87,129.5,延吉市
391,54293,42.95,129.83,图们市
392,54186,43.37,128.2,敦化市
393,54291,42.9,130.28,珲春市
394,54290,42.77,129.4,龙井市
395,54286,42.53,129.0,和龙市
396,54195,43.3,129.78,汪清县
397,54187,43.12,128.92,安图县
398,50956,45.88,126.58,呼兰区
399,50877,46.3,129.58,依兰县
400,50964,45.83,128.8,方正县
401,50960,45.78,127.45,宾县
402,50867,46.08,127.35,巴彦县
403,50962,45.95,128.03,木兰县
404,50963,45.97,128.73,通河县
405,50965,45.45,128.3,延寿县
406,50958,45.52,126.95,阿城市
407,50955,45.38,126.3,双城市
408,50968,45.22,127.97,尚志市
409,54080,44.9,127.15,五常市
410,50739,47.33,123.18,龙江县
411,50750,47.9,125.3,依安县
412,50844,46.4,123.42,泰来县
413,50741,47.93,123.5,甘南县
414,50742,47.8,124.48,富裕县
415,50658,48.05,125.88,克山县
416,50659,48.03,126.25,克东县
417,50755,47.6,126.1,拜泉县
418,50646,48.48,124.85,讷河市
419,50987,45.25,131.13,鸡东县
420,50983,45.77,132.97,虎林市
421,50985,45.55,131.87,密山市
422,50775,47.33,130.27,鹤岗市
423,50776,47.57,130.83,萝北县
424,50787,47.28,131.85,绥滨县
425,50880,46.73,131.12,集贤县
426,50888,46.32,132.18,宝清县
427,50892,46.8,134.0,饶河县
428,50950,45.7,125.25,肇州县
429,50954,45.5,125.08,肇源县
430,50749,47.18,124.83,林甸县
431,50772,48.1,129.23,五营区
432,50674,48.57,129.43,乌伊岭区
433,50673,48.88,130.4,嘉荫县
434,50862,46.98,128.02,铁力市
435,50879,46.22,130.55,桦南县
436,50878,47.0,130.72,桦川县
437,50871,46.73,129.88,汤原县
438,50779,48.37,134.28,抚远县
439,50778,47.67,132.53,同江市
440,50788,47.23,131.98,富锦市
441,50973,45.75,130.58,勃利县
442,54099,44.08,131.13,东宁县
443,50979,45.27,130.23,林口县
444,54096,44.38,131.17,绥芬河市
445,54092,44.6,129.4,海林市
446,54098,44.33,129.47,宁安市
447,54093,44.93,130.55,穆棱市
448,50468,50.25,127.45,爱辉区
449,50557,49.17,125.23,嫩江县
450,50566,49.55,128.47,逊克县
451,50564,49.43,127.35,孙吴县
452,50656,48.28,126.52,北安市
453,50655,48.5,126.18,五大连池市
454,50853,46.62,126.97,北林区
455,50852,46.87,126.48,望奎县
456,50859,46.25,126.27,兰西县
457,50851,46.68,126.1,青冈县
458,50861,46.88,127.48,庆安县
459,50758,47.18,125.9,明水县
460,50767,47.23,127.1,绥棱县
461,50854,46.38,125.32,安达市
462,50858,46.07,125.98,肇东市
463,50756,47.43,126.97,海伦市
464,50353,51.72,126.65,呼玛县
465,50246,52.35,124.72,塔河县
466,50136,52.97,122.52,漠河县
467,58361,31.1,121.37,闵行区
468,58362,31.4,121.45,宝山区
469,58365,31.37,121.25,嘉定区
470,58370,31.23,121.53,浦东新区
471,58460,30.75,121.35,金山区
472,58462,31.03,121.23,松江区
473,58461,31.13,121.12,青浦区
474,58369,31.05,121.78,南汇区
475,58463,30.93,121.48,奉贤区
476,58366,31.63,121.4,崇明县
477,58237,32.05,118.62,浦口区
478,58333,31.93,118.9,江宁区
479,58235,32.35,118.83,六合区
480,58340,31.65,119.03,溧水县
481,58339,31.33,118.9,高淳县
482,58351,31.9,120.3,江阴市
483,58346,31.33,119.82,宜兴市
484,58012,34.68,116.58,丰县
485,58013,34.72,116.92,沛县
486,58130,33.88,117.92,睢宁县
487,58035,34.35,118.35,新沂市
488,58026,34.3,117.95,邳州市
489,58343,31.88,119.98,常州市
490,58345,31.43,119.48,溧阳市
491,58342,31.72,119.55,金坛市
492,58349,31.16,120.38,吴中区
493,58352,31.65,120.77,常熟市
494,58353,31.87,120.57,张家港市
495,58356,31.4,121.0,昆山市
496,58359,31.17,120.63,吴江市
497,58377,31.47,121.1,太仓市
498,58254,32.52,120.45,海安县
499,58264,32.33,121.18,如东县
500,58269,31.78,121.65,启东市
501,58255,32.37,120.57,如皋市
502,58268,32.1,121.08,通州市
503,58360,31.92,121.2,海门市
504,58040,34.83,119.12,赣榆县
505,58036,34.52,118.73,东海县
506,58047,34.3,119.23,灌云县
507,58048,34.12,119.35,灌南县
508,58145,33.53,119.17,楚州区
509,58140,33.78,119.27,涟水县
510,58139,33.3,118.88,洪泽县
511,58138,32.98,118.52,盱眙县
512,58147,32.98,118.97,金湖县
513,58045,34.2,119.57,响水县
514,58049,34.03,119.82,滨海县
515,58143,33.8,119.85,阜宁县
516,58150,33.77,120.25,射阳县
517,58146,33.48,119.8,建湖县
518,58251,32.85,120.28,东台市
519,58158,33.2,120.48,大丰市
520,58148,33.23,119.3,宝应县
521,58242,32.28,119.17,仪征市
522,58241,32.8,119.45,高邮市
523,58244,32.45,119.57,江都市
524,58252,32.11,119.28,丹徒区
525,58341,31.98,119.58,丹阳市
526,58247,32.25,119.82,扬中市
527,58344,31.95,119.17,句容市
528,58243,32.93,119.83,兴化市
529,58257,32.0,120.27,靖江市
530,58249,32.17,120.0,泰兴市
531,58250,32.52,120.15,姜堰市
532,58131,33.98,118.27,宿豫区
533,58038,34.1,118.75,沭阳县
534,58132,33.7,118.72,泗阳县
535,58135,33.48,118.22,泗洪县
536,58459,30.18,120.28,萧山区
537,58542,29.82,119.68,桐庐县
538,58543,29.62,119.02,淳安县
539,58544,29.48,119.27,建德市
540,58449,30.05,119.95,富阳市
541,58448,30.3,119.73,临安市
542,58563,29.97,121.75,北仑区
543,58561,29.59,121.36,镇海区
544,58566,29.28,121.53,象山县
545,58567,29.32,121.43,宁海县
546,58468,30.05,121.17,余姚市
547,58467,30.2,121.27,慈溪市
548,58565,29.68,121.43,奉化市
549,58760,27.83,121.15,洞头县
550,58658,28.15,120.68,永嘉县
551,58751,27.68,120.57,平阳县
552,58750,27.78,120.08,文成县
553,58746,27.55,119.7,泰顺县
554,58752,27.78,120.65,瑞安市
555,58656,28.12,120.97,乐清市
556,58451,30.83,120.93,嘉善县
557,58458,30.53,120.9,海盐县
558,58455,30.52,120.65,海宁市
559,58464,30.62,121.08,平湖市
560,58456,30.63,120.52,桐乡市
561,58450,30.85,120.08,湖州市
562,58454,30.53,119.97,德清县
563,58443,30.98,119.88,长兴县
564,58446,30.63,119.68,安吉县
565,58555,29.52,120.88,新昌县
566,58550,29.7,120.25,诸暨市
567,58553,30.05,120.82,上虞市
568,58556,29.6,120.82,嵊州市
569,58642,28.88,119.8,武义县
570,58546,29.47,119.88,浦江县
571,58560,29.03,120.26,磐安县
572,58548,29.22,119.47,兰溪市
573,58557,29.32,120.07,义乌市
574,58558,29.27,120.22,东阳市
575,58643,28.9,120.03,永康市
576,58631,28.9,118.5,常山县
577,58537,29.13,118.4,开化县
578,58547,29.03,119.18,龙游县
579,58632,28.72,118.6,江山市
580,58477,30.03,122.1,定海区
581,58570,29.95,122.3,普陀区
582,58484,30.25,122.2,岱山县
583,58472,30.73,122.45,嵊泗县
584,58667,28.08,121.27,玉环县
585,58568,29.12,121.38,三门县
586,58559,29.17,120.98,天台县
587,58652,28.87,120.72,仙居县
588,58664,28.37,121.37,温岭市
589,58660,28.85,121.13,临海市
590,58657,28.15,120.28,青田县
591,58654,28.67,120.08,缙云县
592,58644,28.6,119.28,遂昌县
593,58742,28.12,119.55,云和县
594,58745,27.62,119.07,庆元县
595,58647,28.07,119.13,龙泉市
596,58220,32.47,117.15,长丰县
597,58323,31.88,117.47,肥东县
598,58320,31.73,117.13,肥西县
599,58338,31.15,118.58,芜湖县
600,58337,31.08,118.18,繁昌县
601,58431,30.92,118.32,南陵县
602,58127,32.98,117.2,怀远县
603,58129,33.13,117.87,五河县
604,58128,33.32,117.3,固镇县
605,58212,32.72,116.73,凤台县
606,58335,31.55,118.48,当涂县
607,58113,33.93,116.78,濉溪县
608,58416,30.75,116.82,怀宁县
609,58420,30.72,117.22,枞阳县
610,58415,30.63,116.58,潜山县
611,58414,30.45,116.3,太湖县
612,58417,30.17,116.13,宿松县
613,58418,30.13,116.7,望江县
614,58317,30.87,116.37,岳西县
615,58319,31.07,116.95,桐城市
616,58531,29.72,118.28,屯溪区
617,58530,29.87,118.43,歙县
618,58534,29.78,118.18,休宁县
619,58523,29.93,117.93,黟县
620,58520,29.85,117.72,祁门县
621,58234,32.47,118.42,来安县
622,58230,32.08,118.27,全椒县
623,58225,32.53,117.67,定远县
624,58222,32.85,117.55,凤阳县
625,58240,32.68,119.02,天长市
626,58223,32.78,117.98,明光市
627,58107,33.07,115.25,临泉县
628,58109,33.18,115.62,太和县
629,58202,32.63,115.58,阜南县
630,58210,32.65,116.23,颍上县
631,58108,33.27,115.37,界首市
632,58122,33.63,116.98,宿州市
633,58015,34.43,116.33,砀山县
634,58016,34.18,116.97,萧县
635,58125,33.55,117.55,灵璧县
636,58126,33.47,117.87,泗县
637,58326,31.62,117.87,巢湖市
638,58327,31.25,117.28,庐江县
639,58329,31.3,117.9,无为县
640,58330,31.75,118.08,含山县
641,58331,31.73,118.37,和县
642,58215,32.55,116.78,寿县
643,58214,32.33,116.28,霍邱县
644,58316,31.47,116.95,舒城县
645,58306,31.68,115.88,金寨县
646,58314,31.4,116.32,霍山县
647,58114,33.48,116.2,涡阳县
648,58118,33.28,116.55,蒙城县
649,58117,33.13,116.2,利辛县
650,58419,30.1,117.02,东至县
651,58428,30.22,117.48,石台县
652,58421,30.63,117.87,青阳县
653,58442,31.13,119.18,郎溪县
654,58441,30.88,119.42,广德县
655,58432,30.68,118.4,泾县
656,58438,30.08,118.58,绩溪县
657,58435,30.3,118.53,旌德县
658,58436,30.62,118.98,宁国市
659,58844,26.15,119.15,闽侯县
660,58848,26.2,119.55,连江县
661,58845,26.5,119.53,罗源县
662,58839,26.23,118.85,闽清县
663,58932,25.87,118.93,永泰县
664,58944,25.52,119.78,平潭县
